kernel,accuracy,precision,sensitivity,specificity,f1Score,aucpr,iteration
Linear,0.8,NaN,0,1,0,0.39173574913238,35
RBF,0.8,NaN,0,1,0,0.313496856065249,35
Dirac,0.798,0,0,0.9975,0,0.278252298799209,35
k1,0.798,0,0,0.9975,0,0.275619807114435,35
m3,0.788,0,0,0.985,0,0.266982804541347,35
Aitchison-Aitken,0.8,NaN,0,1,0,0.0942266861340433,35
Li-Racin,0.532,0.232,0.58,0.52,0.331428571428571,0.0847900800529252,35
Wang-Ryzin,0.8,NaN,0,1,0,0.0932319670470398,35
Ordered Aitchison-Aitken,0.508,0.208,0.52,0.505,0.297142857142857,0.100182271768774,35
Ordered Li-Racin,0.512,0.212,0.53,0.5075,0.302857142857143,0.102860794190538,35
Linear,0.8,NaN,0,1,0,0.287135865821836,36
RBF,0.8,NaN,0,1,0,0.30442004726709,36
Dirac,0.8,NaN,0,1,0,0.283783026808323,36
k1,0.8,NaN,0,1,0,0.298536100754033,36
m3,0.802,0.571428571428571,0.04,0.9925,0.0747663551401869,0.293550561334687,36
Aitchison-Aitken,0.472,0.172,0.43,0.4825,0.245714285714286,0.106562124875148,36
Li-Racin,0.468,0.168,0.42,0.48,0.24,0.108907469930879,36
Wang-Ryzin,0.8,NaN,0,1,0,0.110791794792927,36
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.109083475515268,36
Ordered Li-Racin,0.484,0.184,0.46,0.49,0.262857142857143,0.110556956176166,36
Linear,0.8,NaN,0,1,0,0.254966507953619,37
RBF,0.8,NaN,0,1,0,0.262628983238848,37
Dirac,0.8,NaN,0,1,0,0.271949330546951,37
k1,0.8,NaN,0,1,0,0.271299877636417,37
m3,0.794,0,0,0.9925,0,0.260174563690643,37
Aitchison-Aitken,0.8,NaN,0,1,0,0.0989841138919044,37
Li-Racin,0.496,0.196,0.49,0.4975,0.28,0.103906957807464,37
Wang-Ryzin,0.8,NaN,0,1,0,0.101241803264986,37
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.098333998194883,37
Ordered Li-Racin,0.496,0.196,0.49,0.4975,0.28,0.108615565579756,37
Linear,0.8,NaN,0,1,0,0.30538124790326,38
RBF,0.8,NaN,0,1,0,0.294919204439098,38
Dirac,0.8,NaN,0,1,0,0.257002107456567,38
k1,0.8,NaN,0,1,0,0.255117941895827,38
m3,0.8,0.5,0.03,0.9925,0.0566037735849057,0.248719831960036,38
Aitchison-Aitken,0.8,NaN,0,1,0,0.0935838950390372,38
Li-Racin,0.528,0.228,0.57,0.5175,0.325714285714286,0.0876957703328906,38
Wang-Ryzin,0.8,NaN,0,1,0,0.0911813896240807,38
Ordered Aitchison-Aitken,0.8,NaN,0,1,0,0.0887194709593255,38
Ordered Li-Racin,0.52,0.22,0.55,0.5125,0.314285714285714,0.0916954598889983,38
Linear,0.802,1,0.01,1,0.0198019801980198,0.251100101675778,39
RBF,0.8,NaN,0,1,0,0.291284710571647,39
Dirac,0.8,NaN,0,1,0,0.270757797527307,39
k1,0.8,NaN,0,1,0,0.27034970802978,39
